,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Avg_Rent_By_Bedroom,Rent_Land_Ratio,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,VALUE
946,One bed,Dublin,1255.23,18395,1458154,1057.0936904761904,0.0682375645555857,9895.73,13623.77,1383.09,11525.39,792.11,70886
947,One bed,Dublin,1251.85,18395,1458154,1057.0936904761904,0.0680538189725468,9895.73,13623.77,1383.09,11525.39,792.11,70886
948,One bed,Dublin,1249.62,18395,1458154,1057.0936904761904,0.06793259037782,9895.73,13623.77,1383.09,11525.39,792.11,70886
949,One bed,Dublin,1246.6,18395,1458154,1057.0936904761904,0.0677684153302527,9895.73,13623.77,1383.09,11525.39,792.11,70886
950,One bed,Dublin,1241.15,18395,1458154,1057.0936904761904,0.0674721391682522,9895.73,13623.77,1383.09,11525.39,792.11,70886
951,One bed,Dublin,1241.01,18395,1458154,1057.0936904761904,0.0674645284044577,9895.73,13623.77,1383.09,11525.39,792.11,70886
952,One bed,Dublin,1238.34,18395,1458154,1057.0936904761904,0.0673193802663767,9895.73,13623.77,1383.09,11525.39,792.11,70886
953,1 to 2 bed,Dublin,1230.48,18395,1458154,1184.0090322580645,0.0668920902419135,9895.73,13623.77,1383.09,11525.39,792.11,70886
954,One bed,Dublin,1211.65,18395,1458154,1057.0936904761904,0.065868442511552,9895.73,13623.77,1383.09,11525.39,792.11,70886
955,One bed,Dublin,1207.35,18395,1458154,1057.0936904761904,0.0656346833378635,9895.73,13623.77,1383.09,11525.39,792.11,70886
956,One bed,Dublin,1189.66,18395,1458154,1057.0936904761904,0.0646730089698287,9895.73,13623.77,1383.09,11525.39,792.11,70886
957,One bed,Dublin,1185.56,18395,1458154,1057.0936904761904,0.0644501223158467,9895.73,13623.77,1383.09,11525.39,792.11,70886
958,All bedrooms,Dublin,1137.65,18395,1458154,1298.127292225201,0.0618456102201685,9895.73,13623.77,1383.09,11525.39,792.11,70886
959,One bed,Dublin,1117.24,18395,1458154,1057.0936904761904,0.0607360695841261,9895.73,13623.77,1383.09,11525.39,792.11,70886
960,1 to 3 bed,Dublin,1102.45,18395,1458154,1230.7152459016395,0.0599320467518347,9895.73,13623.77,1383.09,11525.39,792.11,70886
961,One bed,Dublin,1096.36,18395,1458154,1057.0936904761904,0.0596009785267735,9895.73,13623.77,1383.09,11525.39,792.11,70886
962,One bed,Dublin,1090.13,18395,1458154,1057.0936904761904,0.0592622995379179,9895.73,13623.77,1383.09,11525.39,792.11,70886
963,One bed,Dublin,1072.15,18395,1458154,1057.0936904761904,0.0582848600163087,9895.73,13623.77,1383.09,11525.39,792.11,70886
964,1 to 2 bed,Dublin,1059.81,18395,1458154,1184.0090322580645,0.0576140255504213,9895.73,13623.77,1383.09,11525.39,792.11,70886
965,One bed,Dublin,950.35,18395,1458154,1057.0936904761904,0.0516634955150856,9895.73,13623.77,1383.09,11525.39,792.11,70886
966,Four plus bed,Galway,1893.71,10500,277737,1680.8637333333334,0.1803533333333333,376.52,1018.22,148.58,267.17,74.62,58693
967,Four plus bed,Galway,1871.56,10500,277737,1680.8637333333334,0.1782438095238095,376.52,1018.22,148.58,267.17,74.62,58693
968,Four plus bed,Galway,1794.36,10500,277737,1680.8637333333334,0.1708914285714285,376.52,1018.22,148.58,267.17,74.62,58693
969,All bedrooms,Galway,1737.18,10500,277737,1298.127292225201,0.1654457142857142,376.52,1018.22,148.58,267.17,74.62,58693
970,Four plus bed,Galway,1690.67,10500,277737,1680.8637333333334,0.1610161904761904,376.52,1018.22,148.58,267.17,74.62,58693
971,Four plus bed,Galway,1588.01,10500,277737,1680.8637333333334,0.1512390476190476,376.52,1018.22,148.58,267.17,74.62,58693
972,Four plus bed,Galway,1547.14,10500,277737,1680.8637333333334,0.1473466666666666,376.52,1018.22,148.58,267.17,74.62,58693
973,All bedrooms,Galway,1470.81,10500,277737,1298.127292225201,0.1400771428571428,376.52,1018.22,148.58,267.17,74.62,58693
974,Three bed,Galway,1463.27,10500,277737,1385.131496350365,0.1393590476190476,376.52,1018.22,148.58,267.17,74.62,58693
975,Four plus bed,Galway,1455.64,10500,277737,1680.8637333333334,0.1386323809523809,376.52,1018.22,148.58,267.17,74.62,58693
976,All bedrooms,Galway,1452.12,10500,277737,1298.127292225201,0.1382971428571428,376.52,1018.22,148.58,267.17,74.62,58693
977,All bedrooms,Galway,1445.9,10500,277737,1298.127292225201,0.1377047619047619,376.52,1018.22,148.58,267.17,74.62,58693
978,Four plus bed,Galway,1439.43,10500,277737,1680.8637333333334,0.1370885714285714,376.52,1018.22,148.58,267.17,74.62,58693
979,Three bed,Galway,1429.96,10500,277737,1385.131496350365,0.1361866666666666,376.52,1018.22,148.58,267.17,74.62,58693
980,All bedrooms,Galway,1428.53,10500,277737,1298.127292225201,0.1360504761904762,376.52,1018.22,148.58,267.17,74.62,58693
981,Four plus bed,Galway,1398.57,10500,277737,1680.8637333333334,0.1331971428571428,376.52,1018.22,148.58,267.17,74.62,58693
982,Four plus bed,Galway,1387.79,10500,277737,1680.8637333333334,0.1321704761904762,376.52,1018.22,148.58,267.17,74.62,58693
983,Three bed,Galway,1382.56,10500,277737,1385.131496350365,0.1316723809523809,376.52,1018.22,148.58,267.17,74.62,58693
984,Two bed,Galway,1377.7,10500,277737,1274.9833802816902,0.1312095238095238,376.52,1018.22,148.58,267.17,74.62,58693
985,1 to 3 bed,Galway,1341.17,10500,277737,1230.7152459016395,0.1277304761904762,376.52,1018.22,148.58,267.17,74.62,58693
986,Three bed,Galway,1317.06,10500,277737,1385.131496350365,0.1254342857142857,376.52,1018.22,148.58,267.17,74.62,58693
987,1 to 2 bed,Galway,1314.45,10500,277737,1184.0090322580645,0.1251857142857143,376.52,1018.22,148.58,267.17,74.62,58693
988,1 to 3 bed,Galway,1312.06,10500,277737,1230.7152459016395,0.1249580952380952,376.52,1018.22,148.58,267.17,74.62,58693
989,All bedrooms,Galway,1307.45,10500,277737,1298.127292225201,0.1245190476190476,376.52,1018.22,148.58,267.17,74.62,58693
990,Two bed,Galway,1294.91,10500,277737,1274.9833802816902,0.1233247619047619,376.52,1018.22,148.58,267.17,74.62,58693
991,All bedrooms,Galway,1292.57,10500,277737,1298.127292225201,0.1231019047619047,376.52,1018.22,148.58,267.17,74.62,58693
992,Two bed,Galway,1285.63,10500,277737,1274.9833802816902,0.1224409523809523,376.52,1018.22,148.58,267.17,74.62,58693
993,Three bed,Galway,1277.38,10500,277737,1385.131496350365,0.1216552380952381,376.52,1018.22,148.58,267.17,74.62,58693
994,All bedrooms,Galway,1275.87,10500,277737,1298.127292225201,0.1215114285714285,376.52,1018.22,148.58,267.17,74.62,58693
995,All bedrooms,Galway,1275.85,10500,277737,1298.127292225201,0.1215095238095238,376.52,1018.22,148.58,267.17,74.62,58693
996,Three bed,Galway,1273.6,10500,277737,1385.131496350365,0.121295238095238,376.52,1018.22,148.58,267.17,74.62,58693
997,1 to 3 bed,Galway,1273.45,10500,277737,1230.7152459016395,0.1212809523809523,376.52,1018.22,148.58,267.17,74.62,58693
998,Three bed,Galway,1263.81,10500,277737,1385.131496350365,0.1203628571428571,376.52,1018.22,148.58,267.17,74.62,58693
999,Two bed,Galway,1255.01,10500,277737,1274.9833802816902,0.1195247619047619,376.52,1018.22,148.58,267.17,74.62,58693
1000,1 to 3 bed,Galway,1252.29,10500,277737,1230.7152459016395,0.1192657142857142,376.52,1018.22,148.58,267.17,74.62,58693
1001,All bedrooms,Galway,1250.17,10500,277737,1298.127292225201,0.1190638095238095,376.52,1018.22,148.58,267.17,74.62,58693
1002,All bedrooms,Galway,1249.15,10500,277737,1298.127292225201,0.1189666666666666,376.52,1018.22,148.58,267.17,74.62,58693
1003,Three bed,Galway,1228.8,10500,277737,1385.131496350365,0.1170285714285714,376.52,1018.22,148.58,267.17,74.62,58693
1004,All bedrooms,Galway,1224.06,10500,277737,1298.127292225201,0.1165771428571428,376.52,1018.22,148.58,267.17,74.62,58693
1005,1 to 2 bed,Galway,1219.39,10500,277737,1184.0090322580645,0.1161323809523809,376.52,1018.22,148.58,267.17,74.62,58693
1006,All bedrooms,Galway,1214.26,10500,277737,1298.127292225201,0.1156438095238095,376.52,1018.22,148.58,267.17,74.62,58693
1007,1 to 2 bed,Galway,1210.04,10500,277737,1184.0090322580645,0.1152419047619047,376.52,1018.22,148.58,267.17,74.62,58693
1008,Three bed,Galway,1201.94,10500,277737,1385.131496350365,0.1144704761904761,376.52,1018.22,148.58,267.17,74.62,58693
1009,1 to 2 bed,Galway,1192.26,10500,277737,1184.0090322580645,0.1135485714285714,376.52,1018.22,148.58,267.17,74.62,58693
1010,1 to 3 bed,Galway,1177.01,10500,277737,1230.7152459016395,0.1120961904761904,376.52,1018.22,148.58,267.17,74.62,58693
1011,1 to 3 bed,Galway,1170.98,10500,277737,1230.7152459016395,0.1115219047619047,376.52,1018.22,148.58,267.17,74.62,58693
1012,Three bed,Galway,1166.98,10500,277737,1385.131496350365,0.1111409523809523,376.52,1018.22,148.58,267.17,74.62,58693
1013,1 to 3 bed,Galway,1164.05,10500,277737,1230.7152459016395,0.1108619047619047,376.52,1018.22,148.58,267.17,74.62,58693
1014,Two bed,Galway,1157.87,10500,277737,1274.9833802816902,0.1102733333333333,376.52,1018.22,148.58,267.17,74.62,58693
1015,1 to 3 bed,Galway,1148.27,10500,277737,1230.7152459016395,0.1093590476190476,376.52,1018.22,148.58,267.17,74.62,58693
1016,Three bed,Galway,1143.36,10500,277737,1385.131496350365,0.1088914285714285,376.52,1018.22,148.58,267.17,74.62,58693
1017,1 to 2 bed,Galway,1133.77,10500,277737,1184.0090322580645,0.1079780952380952,376.52,1018.22,148.58,267.17,74.62,58693
1018,1 to 3 bed,Galway,1133.51,10500,277737,1230.7152459016395,0.1079533333333333,376.52,1018.22,148.58,267.17,74.62,58693
1019,All bedrooms,Galway,1129.71,10500,277737,1298.127292225201,0.1075914285714285,376.52,1018.22,148.58,267.17,74.62,58693
1020,All bedrooms,Galway,1126.86,10500,277737,1298.127292225201,0.1073199999999999,376.52,1018.22,148.58,267.17,74.62,58693
1021,Three bed,Galway,1120.94,10500,277737,1385.131496350365,0.1067561904761904,376.52,1018.22,148.58,267.17,74.62,58693
1022,Four plus bed,Galway,1117.63,10500,277737,1680.8637333333334,0.1064409523809523,376.52,1018.22,148.58,267.17,74.62,58693
1023,Four plus bed,Galway,1117.23,10500,277737,1680.8637333333334,0.1064028571428571,376.52,1018.22,148.58,267.17,74.62,58693
1024,Four plus bed,Galway,1116.9,10500,277737,1680.8637333333334,0.1063714285714285,376.52,1018.22,148.58,267.17,74.62,58693
1025,1 to 2 bed,Galway,1089.3,10500,277737,1184.0090322580645,0.1037428571428571,376.52,1018.22,148.58,267.17,74.62,58693
1026,Four plus bed,Galway,1086.05,10500,277737,1680.8637333333334,0.1034333333333333,376.52,1018.22,148.58,267.17,74.62,58693
1027,Two bed,Galway,1065.83,10500,277737,1274.9833802816902,0.101507619047619,376.52,1018.22,148.58,267.17,74.62,58693
1028,1 to 2 bed,Galway,1057.89,10500,277737,1184.0090322580645,0.1007514285714285,376.52,1018.22,148.58,267.17,74.62,58693
1029,1 to 3 bed,Galway,1053.97,10500,277737,1230.7152459016395,0.1003780952380952,376.52,1018.22,148.58,267.17,74.62,58693
1030,1 to 3 bed,Galway,1052.1,10500,277737,1230.7152459016395,0.1002,376.52,1018.22,148.58,267.17,74.62,58693
1031,Two bed,Galway,1047.32,10500,277737,1274.9833802816902,0.0997447619047619,376.52,1018.22,148.58,267.17,74.62,58693
1032,1 to 3 bed,Galway,1021.0,10500,277737,1230.7152459016395,0.0972380952380952,376.52,1018.22,148.58,267.17,74.62,58693
1033,All bedrooms,Galway,1012.38,10500,277737,1298.127292225201,0.0964171428571428,376.52,1018.22,148.58,267.17,74.62,58693
1034,Two bed,Galway,1007.2,10500,277737,1274.9833802816902,0.0959238095238095,376.52,1018.22,148.58,267.17,74.62,58693
1035,1 to 2 bed,Galway,992.17,10500,277737,1184.0090322580645,0.0944923809523809,376.52,1018.22,148.58,267.17,74.62,58693
1036,All bedrooms,Galway,991.66,10500,277737,1298.127292225201,0.0944438095238095,376.52,1018.22,148.58,267.17,74.62,58693
1037,Three bed,Galway,991.36,10500,277737,1385.131496350365,0.0944152380952381,376.52,1018.22,148.58,267.17,74.62,58693
1038,Three bed,Galway,981.93,10500,277737,1385.131496350365,0.0935171428571428,376.52,1018.22,148.58,267.17,74.62,58693
1039,All bedrooms,Galway,974.07,10500,277737,1298.127292225201,0.0927685714285714,376.52,1018.22,148.58,267.17,74.62,58693
1040,All bedrooms,Galway,972.21,10500,277737,1298.127292225201,0.0925914285714285,376.52,1018.22,148.58,267.17,74.62,58693
1041,Three bed,Galway,966.99,10500,277737,1385.131496350365,0.0920942857142857,376.52,1018.22,148.58,267.17,74.62,58693
1042,One bed,Galway,965.53,10500,277737,1057.0936904761904,0.091955238095238,376.52,1018.22,148.58,267.17,74.62,58693
1043,Four plus bed,Galway,963.44,10500,277737,1680.8637333333334,0.0917561904761904,376.52,1018.22,148.58,267.17,74.62,58693
1044,1 to 3 bed,Galway,956.19,10500,277737,1230.7152459016395,0.0910657142857142,376.52,1018.22,148.58,267.17,74.62,58693
1045,All bedrooms,Galway,948.62,10500,277737,1298.127292225201,0.0903447619047619,376.52,1018.22,148.58,267.17,74.62,58693
1046,1 to 3 bed,Galway,945.6,10500,277737,1230.7152459016395,0.0900571428571428,376.52,1018.22,148.58,267.17,74.62,58693
1047,1 to 3 bed,Galway,911.95,10500,277737,1230.7152459016395,0.0868523809523809,376.52,1018.22,148.58,267.17,74.62,58693
1048,1 to 3 bed,Galway,910.61,10500,277737,1230.7152459016395,0.0867247619047619,376.52,1018.22,148.58,267.17,74.62,58693
1049,1 to 2 bed,Galway,906.9,10500,277737,1184.0090322580645,0.0863714285714285,376.52,1018.22,148.58,267.17,74.62,58693
1050,Three bed,Galway,893.02,10500,277737,1385.131496350365,0.0850495238095238,376.52,1018.22,148.58,267.17,74.62,58693
1051,Two bed,Galway,889.66,10500,277737,1274.9833802816902,0.0847295238095238,376.52,1018.22,148.58,267.17,74.62,58693
1052,Two bed,Galway,883.45,10500,277737,1274.9833802816902,0.0841380952380952,376.52,1018.22,148.58,267.17,74.62,58693
1053,1 to 3 bed,Galway,882.96,10500,277737,1230.7152459016395,0.0840914285714285,376.52,1018.22,148.58,267.17,74.62,58693
1054,One bed,Galway,869.65,10500,277737,1057.0936904761904,0.0828238095238095,376.52,1018.22,148.58,267.17,74.62,58693
1055,Two bed,Galway,856.52,10500,277737,1274.9833802816902,0.0815733333333333,376.52,1018.22,148.58,267.17,74.62,58693
1056,1 to 2 bed,Galway,854.99,10500,277737,1184.0090322580645,0.081427619047619,376.52,1018.22,148.58,267.17,74.62,58693
1057,Two bed,Galway,852.82,10500,277737,1274.9833802816902,0.0812209523809523,376.52,1018.22,148.58,267.17,74.62,58693
1058,All bedrooms,Galway,852.53,10500,277737,1298.127292225201,0.0811933333333333,376.52,1018.22,148.58,267.17,74.62,58693
1059,All bedrooms,Galway,848.7,10500,277737,1298.127292225201,0.0808285714285714,376.52,1018.22,148.58,267.17,74.62,58693
1060,1 to 2 bed,Galway,845.83,10500,277737,1184.0090322580645,0.0805552380952381,376.52,1018.22,148.58,267.17,74.62,58693
1061,1 to 2 bed,Galway,844.73,10500,277737,1184.0090322580645,0.0804504761904762,376.52,1018.22,148.58,267.17,74.62,58693
1062,Two bed,Galway,835.6,10500,277737,1274.9833802816902,0.0795809523809523,376.52,1018.22,148.58,267.17,74.62,58693
1063,1 to 3 bed,Galway,809.88,10500,277737,1230.7152459016395,0.0771314285714285,376.52,1018.22,148.58,267.17,74.62,58693
1064,1 to 2 bed,Galway,802.42,10500,277737,1184.0090322580645,0.0764209523809523,376.52,1018.22,148.58,267.17,74.62,58693
1065,1 to 2 bed,Galway,794.35,10500,277737,1184.0090322580645,0.0756523809523809,376.52,1018.22,148.58,267.17,74.62,58693
1066,Three bed,Galway,790.97,10500,277737,1385.131496350365,0.0753304761904762,376.52,1018.22,148.58,267.17,74.62,58693
1067,Two bed,Galway,782.41,10500,277737,1274.9833802816902,0.074515238095238,376.52,1018.22,148.58,267.17,74.62,58693
1068,All bedrooms,Galway,773.08,10500,277737,1298.127292225201,0.0736266666666666,376.52,1018.22,148.58,267.17,74.62,58693
1069,One bed,Galway,758.33,10500,277737,1057.0936904761904,0.0722219047619047,376.52,1018.22,148.58,267.17,74.62,58693
1070,One bed,Galway,748.57,10500,277737,1057.0936904761904,0.0712923809523809,376.52,1018.22,148.58,267.17,74.62,58693
1071,1 to 2 bed,Galway,741.91,10500,277737,1184.0090322580645,0.0706580952380952,376.52,1018.22,148.58,267.17,74.62,58693
1072,1 to 3 bed,Galway,728.41,10500,277737,1230.7152459016395,0.0693723809523809,376.52,1018.22,148.58,267.17,74.62,58693
1073,1 to 3 bed,Galway,719.63,10500,277737,1230.7152459016395,0.0685361904761904,376.52,1018.22,148.58,267.17,74.62,58693
1074,Two bed,Galway,708.26,10500,277737,1274.9833802816902,0.0674533333333333,376.52,1018.22,148.58,267.17,74.62,58693
1075,1 to 2 bed,Galway,692.5,10500,277737,1184.0090322580645,0.0659523809523809,376.52,1018.22,148.58,267.17,74.62,58693
1076,One bed,Galway,657.53,10500,277737,1057.0936904761904,0.0626219047619047,376.52,1018.22,148.58,267.17,74.62,58693
1077,Four plus bed,Kerry,1315.57,14500,156458,1680.8637333333334,0.0907289655172413,176.6,740.06,83.3,70.09,41.06,50289
1078,Four plus bed,Kerry,1097.28,14500,156458,1680.8637333333334,0.0756744827586206,176.6,740.06,83.3,70.09,41.06,50289
1079,Four plus bed,Kerry,1074.49,14500,156458,1680.8637333333334,0.0741027586206896,176.6,740.06,83.3,70.09,41.06,50289
1080,All bedrooms,Kerry,1055.87,14500,156458,1298.127292225201,0.0728186206896551,176.6,740.06,83.3,70.09,41.06,50289
1081,Three bed,Kerry,1048.92,14500,156458,1385.131496350365,0.0723393103448275,176.6,740.06,83.3,70.09,41.06,50289
1082,Two bed,Kerry,1012.8,14500,156458,1274.9833802816902,0.0698482758620689,176.6,740.06,83.3,70.09,41.06,50289
1083,1 to 3 bed,Kerry,989.2,14500,156458,1230.7152459016395,0.0682206896551724,176.6,740.06,83.3,70.09,41.06,50289
1084,Three bed,Kerry,982.77,14500,156458,1385.131496350365,0.0677772413793103,176.6,740.06,83.3,70.09,41.06,50289
1085,1 to 2 bed,Kerry,947.53,14500,156458,1184.0090322580645,0.0653468965517241,176.6,740.06,83.3,70.09,41.06,50289
1086,Three bed,Kerry,935.18,14500,156458,1385.131496350365,0.0644951724137931,176.6,740.06,83.3,70.09,41.06,50289
1087,All bedrooms,Kerry,912.25,14500,156458,1298.127292225201,0.0629137931034482,176.6,740.06,83.3,70.09,41.06,50289
1088,All bedrooms,Kerry,912.19,14500,156458,1298.127292225201,0.0629096551724138,176.6,740.06,83.3,70.09,41.06,50289
1089,1 to 3 bed,Kerry,909.03,14500,156458,1230.7152459016395,0.062691724137931,176.6,740.06,83.3,70.09,41.06,50289
1090,Three bed,Kerry,899.0,14500,156458,1385.131496350365,0.062,176.6,740.06,83.3,70.09,41.06,50289
1091,Three bed,Kerry,897.4,14500,156458,1385.131496350365,0.0618896551724137,176.6,740.06,83.3,70.09,41.06,50289
1092,All bedrooms,Kerry,893.51,14500,156458,1298.127292225201,0.0616213793103448,176.6,740.06,83.3,70.09,41.06,50289
1093,All bedrooms,Kerry,879.83,14500,156458,1298.127292225201,0.0606779310344827,176.6,740.06,83.3,70.09,41.06,50289
1094,1 to 3 bed,Kerry,877.05,14500,156458,1230.7152459016395,0.0604862068965517,176.6,740.06,83.3,70.09,41.06,50289
1095,Two bed,Kerry,874.22,14500,156458,1274.9833802816902,0.0602910344827586,176.6,740.06,83.3,70.09,41.06,50289
1096,Two bed,Kerry,871.6,14500,156458,1274.9833802816902,0.0601103448275862,176.6,740.06,83.3,70.09,41.06,50289
1097,Two bed,Kerry,866.05,14500,156458,1274.9833802816902,0.0597275862068965,176.6,740.06,83.3,70.09,41.06,50289
1098,1 to 2 bed,Kerry,857.51,14500,156458,1184.0090322580645,0.0591386206896551,176.6,740.06,83.3,70.09,41.06,50289
1099,1 to 3 bed,Kerry,853.55,14500,156458,1230.7152459016395,0.0588655172413793,176.6,740.06,83.3,70.09,41.06,50289
1100,Four plus bed,Kerry,849.64,14500,156458,1680.8637333333334,0.0585958620689655,176.6,740.06,83.3,70.09,41.06,50289
1101,1 to 3 bed,Kerry,844.03,14500,156458,1230.7152459016395,0.0582089655172413,176.6,740.06,83.3,70.09,41.06,50289
1102,1 to 2 bed,Kerry,810.16,14500,156458,1184.0090322580645,0.0558731034482758,176.6,740.06,83.3,70.09,41.06,50289
1103,One bed,Kerry,809.38,14500,156458,1057.0936904761904,0.0558193103448275,176.6,740.06,83.3,70.09,41.06,50289
1104,1 to 2 bed,Kerry,803.16,14500,156458,1184.0090322580645,0.0553903448275862,176.6,740.06,83.3,70.09,41.06,50289
1105,Three bed,Kerry,799.37,14500,156458,1385.131496350365,0.0551289655172413,176.6,740.06,83.3,70.09,41.06,50289
1106,Three bed,Kerry,782.46,14500,156458,1385.131496350365,0.0539627586206896,176.6,740.06,83.3,70.09,41.06,50289
1107,All bedrooms,Kerry,779.99,14500,156458,1298.127292225201,0.0537924137931034,176.6,740.06,83.3,70.09,41.06,50289
1108,All bedrooms,Kerry,762.51,14500,156458,1298.127292225201,0.0525868965517241,176.6,740.06,83.3,70.09,41.06,50289
1109,1 to 3 bed,Kerry,746.49,14500,156458,1230.7152459016395,0.0514820689655172,176.6,740.06,83.3,70.09,41.06,50289
1110,1 to 3 bed,Kerry,732.16,14500,156458,1230.7152459016395,0.0504937931034482,176.6,740.06,83.3,70.09,41.06,50289
1111,1 to 2 bed,Kerry,728.07,14500,156458,1184.0090322580645,0.050211724137931,176.6,740.06,83.3,70.09,41.06,50289
1112,All bedrooms,Kerry,720.13,14500,156458,1298.127292225201,0.0496641379310344,176.6,740.06,83.3,70.09,41.06,50289
1113,1 to 3 bed,Kerry,695.13,14500,156458,1230.7152459016395,0.0479399999999999,176.6,740.06,83.3,70.09,41.06,50289
1114,Two bed,Kerry,689.05,14500,156458,1274.9833802816902,0.0475206896551724,176.6,740.06,83.3,70.09,41.06,50289
1115,One bed,Kerry,677.36,14500,156458,1057.0936904761904,0.0467144827586206,176.6,740.06,83.3,70.09,41.06,50289
1116,Two bed,Kerry,665.53,14500,156458,1274.9833802816902,0.0458986206896551,176.6,740.06,83.3,70.09,41.06,50289
1117,One bed,Kerry,653.33,14500,156458,1057.0936904761904,0.0450572413793103,176.6,740.06,83.3,70.09,41.06,50289
1118,1 to 2 bed,Kerry,653.31,14500,156458,1184.0090322580645,0.0450558620689655,176.6,740.06,83.3,70.09,41.06,50289
1119,1 to 2 bed,Kerry,628.94,14500,156458,1184.0090322580645,0.0433751724137931,176.6,740.06,83.3,70.09,41.06,50289
1120,Four plus bed,Kildare,2122.71,18680,247774,1680.8637333333334,0.1136354389721627,487.01,933.79,120.42,168.72,65.43,68053
1121,Four plus bed,Kildare,2046.06,18680,247774,1680.8637333333334,0.1095321199143468,487.01,933.79,120.42,168.72,65.43,68053
1122,Four plus bed,Kildare,1945.43,18680,247774,1680.8637333333334,0.1041450749464668,487.01,933.79,120.42,168.72,65.43,68053
1123,Four plus bed,Kildare,1909.76,18680,247774,1680.8637333333334,0.1022355460385439,487.01,933.79,120.42,168.72,65.43,68053
1124,Four plus bed,Kildare,1871.07,18680,247774,1680.8637333333334,0.1001643468950749,487.01,933.79,120.42,168.72,65.43,68053
1125,Three bed,Kildare,1784.54,18680,247774,1385.131496350365,0.0955321199143468,487.01,933.79,120.42,168.72,65.43,68053
1126,All bedrooms,Kildare,1700.48,18680,247774,1298.127292225201,0.0910321199143469,487.01,933.79,120.42,168.72,65.43,68053
1127,Three bed,Kildare,1631.76,18680,247774,1385.131496350365,0.0873533190578158,487.01,933.79,120.42,168.72,65.43,68053
1128,Four plus bed,Kildare,1625.08,18680,247774,1680.8637333333334,0.0869957173447537,487.01,933.79,120.42,168.72,65.43,68053
1129,Three bed,Kildare,1601.98,18680,247774,1385.131496350365,0.0857591006423982,487.01,933.79,120.42,168.72,65.43,68053
1130,1 to 3 bed,Kildare,1598.52,18680,247774,1230.7152459016395,0.0855738758029978,487.01,933.79,120.42,168.72,65.43,68053
1131,Two bed,Kildare,1576.47,18680,247774,1274.9833802816902,0.0843934689507494,487.01,933.79,120.42,168.72,65.43,68053
1132,All bedrooms,Kildare,1549.92,18680,247774,1298.127292225201,0.0829721627408993,487.01,933.79,120.42,168.72,65.43,68053
1133,Three bed,Kildare,1549.1,18680,247774,1385.131496350365,0.0829282655246252,487.01,933.79,120.42,168.72,65.43,68053
1134,All bedrooms,Kildare,1545.04,18680,247774,1298.127292225201,0.0827109207708779,487.01,933.79,120.42,168.72,65.43,68053
1135,Two bed,Kildare,1522.37,18680,247774,1274.9833802816902,0.081497323340471,487.01,933.79,120.42,168.72,65.43,68053
1136,Three bed,Kildare,1518.93,18680,247774,1385.131496350365,0.0813131691648822,487.01,933.79,120.42,168.72,65.43,68053
1137,All bedrooms,Kildare,1511.05,18680,247774,1298.127292225201,0.0808913276231263,487.01,933.79,120.42,168.72,65.43,68053
1138,Three bed,Kildare,1488.34,18680,247774,1385.131496350365,0.0796755888650963,487.01,933.79,120.42,168.72,65.43,68053
1139,Three bed,Kildare,1486.73,18680,247774,1385.131496350365,0.0795894004282655,487.01,933.79,120.42,168.72,65.43,68053
1140,1 to 2 bed,Kildare,1486.13,18680,247774,1184.0090322580645,0.0795572805139186,487.01,933.79,120.42,168.72,65.43,68053
1141,All bedrooms,Kildare,1484.34,18680,247774,1298.127292225201,0.0794614561027837,487.01,933.79,120.42,168.72,65.43,68053
1142,1 to 3 bed,Kildare,1470.98,18680,247774,1230.7152459016395,0.0787462526766595,487.01,933.79,120.42,168.72,65.43,68053
1143,1 to 3 bed,Kildare,1464.75,18680,247774,1230.7152459016395,0.0784127408993576,487.01,933.79,120.42,168.72,65.43,68053
1144,1 to 3 bed,Kildare,1446.39,18680,247774,1230.7152459016395,0.0774298715203426,487.01,933.79,120.42,168.72,65.43,68053
1145,1 to 3 bed,Kildare,1431.75,18680,247774,1230.7152459016395,0.0766461456102783,487.01,933.79,120.42,168.72,65.43,68053
1146,Three bed,Kildare,1421.87,18680,247774,1385.131496350365,0.0761172376873661,487.01,933.79,120.42,168.72,65.43,68053
1147,All bedrooms,Kildare,1412.46,18680,247774,1298.127292225201,0.0756134903640257,487.01,933.79,120.42,168.72,65.43,68053
1148,Two bed,Kildare,1401.79,18680,247774,1274.9833802816902,0.0750422912205567,487.01,933.79,120.42,168.72,65.43,68053
1149,1 to 2 bed,Kildare,1365.34,18680,247774,1184.0090322580645,0.0730910064239828,487.01,933.79,120.42,168.72,65.43,68053
1150,1 to 2 bed,Kildare,1360.59,18680,247774,1184.0090322580645,0.0728367237687366,487.01,933.79,120.42,168.72,65.43,68053
1151,All bedrooms,Kildare,1360.49,18680,247774,1298.127292225201,0.0728313704496788,487.01,933.79,120.42,168.72,65.43,68053
1152,Two bed,Kildare,1352.26,18680,247774,1274.9833802816902,0.0723907922912205,487.01,933.79,120.42,168.72,65.43,68053
1153,All bedrooms,Kildare,1340.64,18680,247774,1298.127292225201,0.0717687366167023,487.01,933.79,120.42,168.72,65.43,68053
1154,1 to 3 bed,Kildare,1334.61,18680,247774,1230.7152459016395,0.071445931477516,487.01,933.79,120.42,168.72,65.43,68053
